Department,Experience,Salary Range
IT,1-2 yrs,4L-6L
IT,2-5 yrs,6L-12L
IT,5-10 yrs,12L-18L
IT,10+ yrs,18L-30L
HR,1-2 yrs,2L-4L
HR,2-5 yrs,4L-7L
HR,5-10 yrs,7L-12L
HR,10+ yrs,12L-18L
Finance,1-2 yrs,3L-5L
Finance,2-5 yrs,5L-9L
Finance,5-10 yrs,8L-15L
Finance,10+ yrs,15L-22L
Recommendations,1-2 yrs,6L-10L
Recommendations,2-5 yrs,10L-18L
Recommendations,5-10 yrs,18L-30L
Recommendations,10+ yrs,30L-50L
Marketing,1-2 yrs,3L-5L
Marketing,2-5 yrs,5L-8L
Marketing,5-10 yrs,8L-14L
Marketing,10+ yrs,14L-20L
